group_id,year,max_distance
60,2022,42168.46631243661
60,2024,54425.275666304515
61,2018,0.0
61,2021,2792.9181871356413
61,2022,17005.052242511163
61,2023,17005.052242511163
61,2024,17005.052242511163
62,2010,0.0
62,2023,11329.590201350196
63,2022,0.0
63,2023,7660.571531140048
64,2021,0.0
64,2023,8846.985171908582
65,2020,0.0
65,2023,8625.103842645412
66,2022,0.0
66,2023,3811.8174242911277
66,2024,12031.162539242589
67,2014,173.33135368777027
67,2020,4048.634743140392
67,2022,4048.634743140392
67,2023,4048.634743140392
68,2022,69.0853754851246
68,2023,13912.708185779975
68,2024,13912.708185779975
69,2018,0.0
69,2024,6823.718782260154
7,2009,0.0
7,2010,534.7241382812566
7,2017,534.7241382812566
70,2020,0.0
70,2024,8274.839532795646
71,2022,0.0
71,2024,12257.427893243026
72,2022,2.866686995414679
72,2023,3.3045255594365917
72,2024,6872.693383241625
73,2023,0.0
73,2024,8130.9307468238885
74,2023,0.0
74,2024,2225.5083828308852
75,2023,0.0
